"supplierUrl","amaonUrl","size","similarity_result","distance","outsource","colorSimilarity",
"https://wholesalehalloweencostumes-weblinc.netdna-ssl.com/product_images/bag-of-skeleton-bones/5aeafe1169702d484a007aab/large_thumb.jpg?c=1525349905","http://ecx.images-amazon.com/images/I/41esfWAdN5L._SL75_.jpg","16048  15408",0.35140562248996,0.0977,0,0.171399345805732,
"https://s7d2.scene7.com/is/image/BedBathandBeyond/104595060213501p?$229$","http://ecx.images-amazon.com/images/I/51zYXmUlayL._SL75_.jpg","13104  11024",0.352216748768473,0.0928,0,0.184550532205223,
"https://cache.fivebelow.com/media/catalog/product/cache/1/image/262x262/17f82f742ffe127f42dca9de82fb58b1/3/0/3013059_large-bed-fall18_ecom1822-4.jpg","http://ecx.images-amazon.com/images/I/41RdKFjB0XL._SL75_.jpg","14608  5072",0.353200883002208,0.1079,0,0,
"https://mi6.rightinthebox.com/images/240x240/201612/tbcm1482303559973.jpg","http://ecx.images-amazon.com/images/I/61ywg9mc9eL._SL75_.jpg","14448  14480",0.354910714285714,0.0709,0,0,
"https://mi6.rightinthebox.com/images/240x240/201612/tbcm1482303559973.jpg","http://ecx.images-amazon.com/images/I/61ywg9mc9eL._SL75_.jpg","14448  14480",0.354910714285714,0.0709,0,0,
"https://media.kohlsimg.com/is/image/kohls/3444116?wid=240&hei=240&op_sharpen=1","http://ecx.images-amazon.com/images/I/51eThKPkGqL._SL75_.jpg","3440  13296",0.355769230769231,0.0879,0,0.079181148638828,
"http://s7.orientaltrading.com/is/image/OrientalTrading/SEARCH_BROWSE/jet-black-aurora-borealis-cut-crystal-round-beads-8mm~68_26652","http://ecx.images-amazon.com/images/I/41pU30sSVWL._SL75_.jpg","11600  9968",0.356545961002785,0.0981,0,0,
"https://mi1.rightinthebox.com/images/240x240/201710/ivfgqw1508900689597.jpg","http://ecx.images-amazon.com/images/I/518Chp-XtuL._SL75_.jpg","14288  13616",0.35665914221219,0.0618,0,0,
"http://s7d2.scene7.com/is/image/academy/10076778?wid=250&hei=250","http://ecx.images-amazon.com/images/I/31J4GlB-WfL._SL75_.jpg","13744  9648",0.356807511737089,0.054,0,0,
"https://img.staticbg.com/thumb/gallery/oaupload/banggood/images/17/E6/3d7bdaa9-010d-460f-a2bc-6685532bfa01.jpg","http://ecx.images-amazon.com/images/I/51F52KX6WEL._SL75_.jpg","13872  13424",0.358139534883721,0.0287,0,0.980988186067632,
"http://imgprod60.hobbylobby.com/sys-master/migrated/h77/h3c/h00/9232560652318/1301472[1].jpg","http://ecx.images-amazon.com/images/I/51BjTr0z91L._SL75_.jpg","10512  10128",0.36,0.0837,0,0.114623380813986,
"https://images10.newegg.com/ProductImageCompressAll300/A4SR_1_20180804436927859.jpg","http://ecx.images-amazon.com/images/I/517ypr6lXBL._SL75_.jpg","12016  13648",0.360215053763441,0.036,0,0,
"https://pics.towerhobbies.com/imagem/e/mefla1763.jpg","http://ecx.images-amazon.com/images/I/31CdLHKEDRL._SL75_.jpg","7120  1104",0.360730593607306,0.0903,0,0.329199442030294,
"https://www.sallybeauty.com/dw/image/v2/AABJ_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwa2e61b1a/images/large/SBS-527606.png?sw=200&sh=200&sm=fit","http://ecx.images-amazon.com/images/I/41mbEKS%2BPuL._SL75_.jpg","10224  12784",0.360759493670886,0.0781,0,0,
