similarity_result,distance,outsource,colorSimilarity
0,0.0946,0,0.605962459663779
0,0.1088,0,0.700397809640228
0,0.0645,0,0.700397809640228
0,0.0645,0,0.700397809640228
0,0.0723,0,0.700397809640228
0,0.0645,0,0.700397809640228
0,0.1088,0,0.700397809640228
0,,0,0.700397809640228
0,0.1088,0,0.700397809640228
0,0.1069,0,0.700397809640228
0,,0,0.677871816209332
0,0.0585,0,0.568680830415634
0,0.0842,0,0.677871816209332
0,0.0776,0,0.297879180719433
0,0.0582,0,0.389429080030773
0,,0,0.389429080030773
0,,0,0.389429080030773
0,0.0312,0,0
0,0.056,0,0
0,0.0455,0,0.034464643602527
0,,0,0.420982160671478
0,0.0508,0,0.420982160671478
0,0.0963,0,0.546990559421346
0,0.0807,0,0.48904363710976
0,0.0908,0,0.223933496416485
0,0.0625,0,0.223933496416485
0,0.0816,0,0.223933496416485
0,0.0538,0,0.284716378580752
0,0.0695,0,0.133935342984738
0,0.086,0,0.395925862950309
0,0.0789,0,0.276115137753436
0,0.0417,0,0
0,0.0579,0,0.375579662080944
0,0.0612,0,0.264450135871302
0,0.0599,0,1
0,0,0,0.191844855667017
0,0.0684,0,0.845021406801478
0,0.0668,0,0.812444071864783
0,0.0869,0,0
0,0.0702,0,0.324919697262513
0,,0,0.456483513477697
0,,0,0.456483513477697
0,0.0755,0,0
0,0.0678,0,0
0,,0,0.276115137753436
0,0.0635,0,0.276115137753436
0,0.0739,0,0.311976063025626
0,0.0911,0,0.434789668891267
0,0.0926,0,0.406788687225565
0,0.0614,0,0.157323687421795
0,0.0354,0,0.408019272154353
0,0.0558,0,0.524900203694414
