,"supplierUrl","amaonUrl","size","similarity_result","distance","outsource","colorSimilarity"
251,"https://images.bonanzastatic.com/afu/images/7a77/56eb/f1e0_5925986514/__57_thumbtall.jpg","http://ecx.images-amazon.com/images/I/51gH7E15DBL._SL75_.jpg","11472  9904",0.388732394366197,0.0594,-1,0.823115721676255
19,"https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/V06W_1_201708251894680736.jpg","http://ecx.images-amazon.com/images/I/41nELS%2BzBML._SL75_.jpg","7600  14000",0.388888888888889,0.0386,-1,0
297,"https://img.chewy.com/is/image/catalog/147294_MAIN._AC_SS190_V1528386715_.jpg","http://ecx.images-amazon.com/images/I/611%2BQTPKJQL._SL75_.jpg","12208  11984",0.388888888888889,0.0536,-1,15.1892358641513
959,"https://target.scene7.com/is/image/Target/53211812?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/3159xBtI90L._SL75_.jpg","15568  9680",0.389233954451346,0.0819,-1,0.391404041958453
739,"https://target.scene7.com/is/image/Target/52635350?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51-gBnubiqL._SL75_.jpg","14416  7088",0.389261744966443,0.0766,-1,0.260101191738079
272,"https://images.bonanzastatic.com/afu/images/7834/5901/3bf6_5901280630/s-l1600_thumb200.jpg","http://ecx.images-amazon.com/images/I/41ReFardsZL._SL75_.jpg","10704  12784",0.389728096676737,0.0326,-1,1
918,"https://target.scene7.com/is/image/Target/16536046?wid=325&hei=325&qlt=80&fmt=pjpeg","http://ecx.images-amazon.com/images/I/41%2BuA8pkdCL._SL75_.jpg","2160  656",0.390625,0.0143,-1,0
135,"http://g.christianbook.com/dg/product/cbd/w163/016150.jpg","http://ecx.images-amazon.com/images/I/414eNTsKR4L._SL75_.jpg","10352  10256",0.390625,0.0492,-1,1.59500150568783
881,"https://target.scene7.com/is/image/Target/52587114?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/41OlIw3TDiL._SL75_.jpg","15568  7472",0.391304347826087,0.0957,-1,0
906,"https://target.scene7.com/is/image/Target/51950960?wid=325&hei=325&qlt=80&fmt=webp","http://ecx.images-amazon.com/images/I/51HfEUN0jNL._SL75_.jpg","15728  14576",0.391393442622951,0.1612,-1,0.631532703312913
